Apple ID Number,Activity Date,Content Type,Item Reference Number,Item Description,Version Text,Seller,Device Details,Device IP Address,Device Identifier
1840450201,2023-09-07T20:51:13,Google Slides,879478102,iOS and tvOS Apps,1.2023.35201,Google LLC,"AppStore/3.0 iOS/16.6 model/iPhone11,2 hwp/t8020 build/20G75 (6; dt:185) AMS/1",2a02:9b0:4039:42d7:5998:659b:1852:5999,00008020-000C353C0CD8002E
1840450201,2023-09-07T20:51:20,Google Sheets,842849113,iOS and tvOS Apps,1.2023.35201,Google LLC,"AppStore/3.0 iOS/16.6 model/iPhone11,2 hwp/t8020 build/20G75 (6; dt:185) AMS/1",2a02:9b0:4039:42d7:5998:659b:1852:5999,00008020-000C353C0CD8002E
